source_id,p,p_er,theta,theta_er,q,q_er,u,u_er,Rmag,exposure,airmass,N0,N1,N2,N3,sN0,sN1,sN2,sN3,bgr0,bgr1,bgr2,bgr3,inner_aperture0,inner_aperture1,inner_aperture2,inner_aperture3,apert0,apert1,apert2,apert3
IT_1616-0131341,0.02301,0.00142,-0.4783,0.0308,0.01326,0.00141,-0.01881,0.00142,13.02,87,1.594,684170,656928,667160,648261,1325,1365,1323,1294,1249.4,1409.6,1369.7,1297.2,18.45,18.45,17.8,17.8,3.81,3.81,3.67,3.67
IT_1625-0143524,0.01951,0.0019,-0.5541,0.0489,0.00871,0.00183,-0.01746,0.00191,14.65,210,1.289,368554,354816,365575,358467,985,973,936,934,803.1,790.1,791.9,795.7,17.34,17.34,16.19,16.19,3.66,3.66,3.42,3.42
IT_1614-0127298,0.00808,0.00142,-0.0404,0.0896,0.00805,0.00142,-0.00065,0.00147,13.7,138,1.587,529609,527321,534915,525206,1107,1093,1073,1052,1222.3,1170,1234,1161,15.29,15.29,14.38,14.38,3.71,3.71,3.49,3.49
IT_1615-0129405,0.00536,0.00127,-0.0036,0.1236,0.00536,0.00127,-0.00004,0.00131,13.2,96,1.326,598575,596713,583525,576026,1097,1114,1055,1034,1200.5,1279.4,1281.6,1197.3,14.43,14.43,13.13,13.13,3.84,3.84,3.5,3.5
IT_1625-0144252,0.0194,0.00242,-0.7483,0.0631,0.00144,0.00237,-0.01935,0.00242,15.97,1200,1.463,388707,372818,362257,360419,1307,1300,1206,1220,1414.1,1413.8,1388.7,1434.7,19.18,19.18,17.74,17.74,3.47,3.47,3.21,3.21
IT_1614-0126986,0.02025,0.00123,-0.5308,0.0305,0.00987,0.0012,-0.01768,0.00124,13.09,90,1.32,639635,615544,630434,616739,1100,1104,1066,1043,1197.5,1267.6,1276.2,1186.5,14.05,14.05,12.9,12.9,3.75,3.75,3.45,3.45
IT_1624-0141615,0.01844,0.00188,-0.4209,0.0513,0.01228,0.00179,-0.01375,0.00195,15.08,480,1.304,447721,434245,467079,454738,1242,1189,1147,1183,1452.7,1300,1292.6,1439.6,17.41,17.41,16.32,16.32,3.7,3.7,3.47,3.47
IT_1627-0145026,0.0204,0.00219,-0.2343,0.054,0.0182,0.00218,-0.00921,0.00221,15.48,720,1.632,447643,438124,419429,403544,1236,1511,1197,1332,1933.6,3301.6,2226.2,3010.2,15.15,15.15,13.76,13.76,3.78,3.78,3.43,3.43
IT_1626-0144142,0.01949,0.00108,-0.554,0.0279,0.0087,0.00102,-0.01744,0.0011,14.72,672,1.547,1148937,1106205,1130956,1108990,1760,1751,1611,1604,2435.1,2446.8,2438.7,2441.6,17.88,17.88,15.65,15.65,3.56,3.56,3.11,3.11
IT_1617-0135370,0.01619,0.00138,-0.4666,0.0428,0.00964,0.00134,-0.01301,0.0014,13.31,102,1.481,569016,552742,561050,549120,1106,1119,1064,1038,1264.8,1351.8,1362.5,1262,14.62,14.62,13.24,13.24,3.63,3.63,3.28,3.28
IT_1627-0145350,0.0159,0.00202,-0.5233,0.0642,0.00796,0.00186,-0.01377,0.00207,15.51,744,1.325,431781,418783,414776,407325,1240,1249,1098,1061,1400.8,1445.6,1495.6,1354.2,17.77,17.77,14.78,14.78,3.61,3.61,3,3
IT_1615-0129510,0.01916,0.0013,-0.4126,0.034,0.013,0.00126,-0.01408,0.00133,13.28,102,1.357,593694,575465,602824,586055,1094,1105,1071,1046,1232.3,1319.1,1311.9,1226.8,14.23,14.23,13.16,13.16,3.71,3.71,3.43,3.43
IT_1625-0143759,0.01874,0.00138,-0.5722,0.037,0.00775,0.00133,-0.01706,0.00139,14.72,336,1.264,644051,620552,631370,620284,1253,1237,1179,1173,1207.4,1187.3,1195.9,1192.7,17.54,17.54,16.07,16.07,3.64,3.64,3.33,3.33
IT_1618-0136560,0.01902,0.00118,-0.5133,0.0312,0.00985,0.00113,-0.01627,0.0012,13.36,108,1.543,696597,672235,683044,668242,1156,1167,1094,1065,1282.6,1382.4,1399.1,1266.7,14.37,14.37,12.43,12.43,3.72,3.72,3.22,3.22
IT_1626-0144686,0.0194,0.00111,-0.6331,0.0288,0.00582,0.00104,-0.01851,0.00112,14.19,414,1.301,1299802,1248749,1303235,1285312,2018,2022,1907,1897,2327.2,2383.4,2360.5,2342.1,21.38,21.38,19.67,19.67,3.89,3.89,3.58,3.58
IT_1624-0142217,0.02354,0.00079,-0.4564,0.0168,0.01439,0.00074,-0.01862,0.00082,14.69,1382,1.258,2226085,2138152,2202028,2134804,2514,2515,2215,2342,5492.9,5620.2,4903,6083.6,17.3,17.3,15.04,15.04,4.04,4.04,3.51,3.51
IT_1624-0142987,0.01633,0.00185,-0.5211,0.057,0.00824,0.00173,-0.0141,0.00188,15.88,1092,1.427,403149,390745,382147,375073,1061,1054,924,926,1418.1,1410.2,1399.1,1435.4,14.52,14.52,11.92,11.92,3.95,3.95,3.24,3.24
IT_1623-0140845,0.01951,0.00148,-0.3735,0.0381,0.01432,0.00147,-0.01326,0.00149,14.53,282,1.302,492786,478431,475708,461256,1027,1019,979,971,1141.8,1136.5,1137,1137.9,14.27,14.27,13.31,13.31,3.72,3.72,3.47,3.47
IT_1625-0143896,0.02181,0.00261,-0.5509,0.0604,0.00986,0.00252,-0.01945,0.00263,15.95,1176,1.311,353595,339060,370824,362779,1296,1279,1305,1310,1438.8,1406.7,1401.6,1424.8,19.08,19.08,19.34,19.34,3.56,3.56,3.61,3.61
IT_1614-0127456,0.01798,0.00142,-0.5077,0.0396,0.00948,0.00137,-0.01528,0.00144,13.76,192,1.276,682484,659898,666301,652347,1374,1358,1273,1278,1564.9,1538.9,1527.4,1573.1,17.57,17.57,15.95,15.95,3.45,3.45,3.13,3.13
IT_1612-0129021,0.02816,0.00198,-0.6311,0.0353,0.00855,0.00195,-0.02683,0.00198,13.99,174,1.295,448502,423749,429732,421513,1229,1219,1213,1133,1537.6,1536.3,1678,1389,16.72,16.72,15.92,15.92,3.87,3.87,3.69,3.69
IT_1613-0126267,0.00993,0.00203,-0.4623,0.1052,0.00598,0.00199,-0.00793,0.00205,10.59,42,1.413,321645,315631,311529,307147,917,930,877,867,1173,1243,1224.6,1188.2,13.57,13.57,12.53,12.53,4.12,4.12,3.81,3.81
IT_1626-0143997,0.01303,0.00225,-0.4307,0.0881,0.00849,0.00217,-0.00989,0.00231,15.54,765,1.27238051,350532,342631,341651,335158,1144,1116,1054,1027,1435.5,1354.3,1448,1352,16.46,16.46,14.81,14.81,3.73,3.73,3.35,3.35
